name,manual,Equipment_Images
Baking Dish,"Use a baking dish to bake casseroles, lasagnas, or desserts in the oven.",images\Equipment\Baking_Dish.jpg
Baking Sheet,"Line a baking sheet with parchment paper or a silicone baking mat to prevent sticking and ensure even baking.",images\Equipment\Baking_Sheet.jpg
Basting Brush,"Apply marinades, sauces, or melted butter to meats, poultry, or vegetables evenly with a basting brush.",images\Equipment\Basting_Brush.jpg
Blender,"Blend smoothies, soups, or sauces to a smooth consistency using a blender.",images\Equipment\Blender.jpg
Bowl,"Mix ingredients, toss salads, or serve dishes in a bowl for easy preparation and serving.",images\Equipment\Bowl.jpg
Brush,"Use a brush to apply oil, sauces, or marinades to foods for grilling, baking, or roasting.",images\Equipment\Brush.jpg
Can Opener,"Open canned goods easily and safely using a can opener with a smooth, steady motion.",images\Equipment\Can_Opener.jpg
Chefs Knife,"Hold a chef's knife with a firm grip and use a rocking motion when chopping vegetables, fruits, or meats.",images\Equipment\Chefs_Knife.jpg
Colander,"Drain pasta, vegetables, or canned beans by placing them in a colander and shaking gently to remove excess moisture.",images\Equipment\Colander.jpg
Cookie cutter,"Press a cookie cutter firmly into rolled-out dough to create uniform shapes for cookies or other baked goods.",images\Equipment\Cookie_Cutter.jpg
Crepe pan,"Pour crepe batter onto a heated crepe pan and swirl to spread evenly, flipping once to cook both sides.",images\Equipment\Crepe_pan.jpg
Cutting Board,"Use a cutting board to chop vegetables, fruits, or meats safely, preventing cross-contamination.",images\Equipment\Cutting_Board.jpg
Deep Fryer,"Heat oil to the desired temperature and carefully lower food into the deep fryer basket for frying.",images\Equipment\Deep_Fryer.jpg
Dutch Oven,"Use a Dutch oven to braise, stew, or roast meats and vegetables on the stovetop or in the oven.",images\Equipment\Dutch_Oven.jpg
Food Processor,"Chop, blend, or puree ingredients quickly and efficiently using a food processor with sharp blades.",images\Equipment\Food_Processor.jpg
Fork,"Use a fork to pierce and lift foods, such as pasta or salads, for serving or mixing.",images\Equipment\Fork.jpg
Frying Pan,"Heat oil or butter in a frying pan and cook foods, such as eggs or pancakes, over medium heat.",images\Equipment\Frying_Pan.jpg
Glass,"Serve beverages or desserts in a glass for a sleek and elegant presentation.",images\Equipment\Glass.jpg
Grater,"Grate cheese, vegetables, or spices using a grater with sharp blades and a comfortable grip.",images\Equipment\Grater.jpg
