name,description,Thematic_Unit_Images
Spring Picnic,"Enjoy a delightful picnic in the springtime with fresh salads, sandwiches, and fruity desserts.",images\Thematic Units\Spring_Picnic.jpg
Summer BBQ,"Fire up the grill and savor the flavors of summer with barbecue favorites like burgers, ribs, and grilled veggies.",images\Thematic Units\Summer_BBQ.jpg
Autumn Feast,"Celebrate the bounty of the fall harvest with comforting dishes featuring pumpkin, squash, and hearty soups.",images\Thematic Units\Autumn_Feast.jpg
Winter Holiday,"Gather with loved ones for a festive holiday feast featuring roast turkey, ham, and all the trimmings.",images\Thematic Units\Winter_Holiday.jpg
Valentines Romance,"Whisk your sweetheart away with a romantic dinner featuring decadent chocolates and sparkling champagne.",images\Thematic Units\Valentines_Romance.jpg
Easter Brunch,"Celebrate Easter with a lavish brunch spread featuring eggs, pastries, and spring-inspired dishes.",images\Thematic Units\Easter_Brunch.jpg
Independence BBQ,"Celebrate Independence Day with a patriotic barbecue featuring hot dogs, corn on the cob, and apple pie.",images\Thematic Units\Independence_BBQ.jpg
Oktoberfest,"Raise a stein and join the festivities with traditional German fare like pretzels, bratwurst, and sauerkraut.",images\Thematic Units\Oktoberfest.jpg
Dia de los Muertos,"Honor the Day of the Dead with a colorful fiesta featuring traditional Mexican dishes and sugar skull treats.",images\Thematic Units\Dia_de_los_Muertos.jpg
Hanukkah Feast,"Celebrate Hanukkah with a festive feast featuring latkes, brisket, and jelly-filled sufganiyot.",images\Thematic Units\Hanukkah_Feast.jpg
Christmas Cookies,"Gather friends and family for a cookie exchange featuring an assortment of homemade cookies and treats.",images\Thematic Units\Christmas_Cookies.jpg
New Years Party,"Ring in the New Year with a dazzling party platter featuring finger foods, dips, and bubbly champagne.",images\Thematic Units\New_Years_Party.jpg
Thanksgiving Dinner,"Give thanks with a traditional Thanksgiving dinner featuring roast turkey, stuffing, and cranberry sauce.",images\Thematic Units\Thanksgiving_Dinner.jpg
Chinese New Year,"Welcome the Lunar New Year with a lavish banquet featuring dumplings, noodles, and sweet desserts.",images\Thematic Units\Chinese_New_Year.jpg
Cinco de Mayo,"Celebrate Cinco de Mayo with a festive fiesta featuring tacos, margaritas, and spicy salsa.",images\Thematic Units\Cinco_de_Mayo.jpg
Summer Solstice,"Celebrate the longest day of the year with a summer solstice feast featuring grilled seafood and seasonal fruits.",images\Thematic Units\Summer_Solstice.jpg
Winter Brunch,"Cozy up indoors with a winter wonderland brunch featuring hearty casseroles and warm beverages.",images\Thematic Units\Winter_Brunch.jpg
Labor Day Cookout,"Enjoy the last days of summer with a Labor Day cookout featuring grilled favorites and refreshing beverages.",images\Thematic Units\Labor_Day_Cookout.jpg
Mardi Gras Feast,"Join the revelry of Mardi Gras with a festive feast featuring jambalaya, gumbo, and king cake.",images\Thematic Units\Mardi_Gras_Feast.jpg
Midsummer Night,"Celebrate Midsummer with a magical feast inspired by Shakespeare featuring mead, roasted meats, and berry tarts.",images\Thematic Units\Midsummer_Night.jpg
Diwali Festival,"Illuminate your home with the glow of Diwali and indulge in traditional Indian sweets and savory snacks.",images\Thematic Units\Diwali_Festival.jpg
St. Patricks Day,"Raise a glass and celebrate St. Patricks Day with classic Irish pub fare like shepherds pie and Guinness stew.",images\Thematic Units\St._Patricks_Day.jpg
Bastille Day Soirée,"Raise a toast to liberty and equality with a Bastille Day soirée featuring French delicacies like escargot and croissants.",images\Thematic Units\Bastille_Day_Soiree.jpg
