name,description
Grains,"Rice, wheat, corn products: bread, cereals, pasta, bran, wheat germ, pizza, pancakes"
Milk and milk products,"Milk, yoghurt, cream, cheese"
Fruit and fruit products,"Fruit: fresh, dried, frozen or canned"
Eggs,"Eggs/egg products"
Meat and poultry,"Poultry, game, beef, pork, sheep, processed meats"
Fish/shellfish,"Fish, shrimp, reptiles etc."
Vegetables,"Vegetables and products, potatoes: french fried, baked, boiled, etc (no chips)"
Fats/oils,"Oils, butter, margarine"
Legumes/nuts/seeds,"Pulses, lima beans, peas, etc, soy beans, tofu, seeds, nuts, peanut butter"
Sugar and sugar products,"Chocolate, candy bars, cookies, cakes, pies, jams/jellies"
Non-alcoholic beverages,"Water, coffee/tea, lemonades, carbonated drinks, fruit and vegetable juices"
Alcoholic beverages,"Beer, wine, liqueur"
