Recipies_name,step_number,Steps_Step_Description
Spiced Chickpea Curry with Coconut Milk,1,Heat oil in a pot or dutch oven over medium heat
Spiced Chickpea Curry with Coconut Milk,2,Add onions and cook until softened
Spiced Chickpea Curry with Coconut Milk,3,Add spices and cook for 1 minute
Spiced Chickpea Curry with Coconut Milk,4,Add tomatoes (diced or canned) and cook for 5 minutes
Spiced Chickpea Curry with Coconut Milk,5,"Add coconut milk, chickpeas, and broth (optional)"
Spiced Chickpea Curry with Coconut Milk,6,"Simmer for 15-20 minutes, or until thickened"
Spiced Chickpea Curry with Coconut Milk,7,Season with salt and pepper to taste
Spiced Chickpea Curry with Coconut Milk,8,Serve over rice and garnish with cilantro (optional)
One-Pan Lemon Garlic Salmon with Asparagus,1,Preheat oven to 400°F (200°C)
One-Pan Lemon Garlic Salmon with Asparagus,2,Line a baking sheet with parchment paper
One-Pan Lemon Garlic Salmon with Asparagus,3,"Toss asparagus with olive oil, salt, and pepper"
One-Pan Lemon Garlic Salmon with Asparagus,4,Spread asparagus on the baking sheet
One-Pan Lemon Garlic Salmon with Asparagus,5,Place salmon fillets on top of the asparagus
One-Pan Lemon Garlic Salmon with Asparagus,6,"In a small bowl, combine melted butter, lemon juice, garlic, and herbs"
One-Pan Lemon Garlic Salmon with Asparagus,7,Pour the lemon garlic sauce over the salmon
One-Pan Lemon Garlic Salmon with Asparagus,8,"Bake for 15-20 minutes, or until salmon is cooked through"
Penne Arrabbiata,1,Bring a large pot of salted water to a boil
Penne Arrabbiata,2,Cook penne according to package instructions
Penne Arrabbiata,3,"While pasta is cooking, heat olive oil in a pan over medium heat"
Penne Arrabbiata,4,"Add garlic and red pepper flakes, cook until fragrant"
Penne Arrabbiata,5,"Add crushed tomatoes, salt, and pepper"
Penne Arrabbiata,6,Simmer for 10 minutes
Penne Arrabbiata,7,"Drain pasta, reserving some pasta water"
Penne Arrabbiata,8,"Toss pasta with the tomato sauce, adding reserved pasta water for desired consistency"
Penne Arrabbiata,9,Garnish with fresh parsley (optional)
Chicken Fajitas,1,Marinate chicken in fajita seasoning for at least 30 minutes
Chicken Fajitas,2,Heat a large skillet or grill pan over medium-high heat
Chicken Fajitas,3,"Add sliced peppers and onions, cook until softened"
Chicken Fajitas,4,Remove peppers and onions from the pan
Chicken Fajitas,5,Cook chicken strips in the pan until browned
Chicken Fajitas,6,Warm tortillas in a skillet or microwave
Chicken Fajitas,7,"Serve chicken fajitas with peppers, onions, tortillas, and your favorite toppings (salsa, guacamole, sour cream)"
Beef and Broccoli Stir-fry,1,Cut beef into thin strips
Beef and Broccoli Stir-fry,2,"Marinate beef in soy sauce, cornstarch, and sesame oil (optional)"
Beef and Broccoli Stir-fry,3,Heat oil in a wok or large skillet over high heat
Beef and Broccoli Stir-fry,4,Stir-fry beef until browned
Beef and Broccoli Stir-fry,5,Remove beef from the pan and set aside
Beef and Broccoli Stir-fry,6,Add broccoli florets to the pan and stir-fry for 2-3 minutes
Beef and Broccoli Stir-fry,7,"In a bowl, combine soy sauce, cornstarch, water, and sugar (optional)"
Beef and Broccoli Stir-fry,8,Pour the sauce into the pan with the broccoli and bring to a simmer
Beef and Broccoli Stir-fry,9,Return beef to the pan and cook until heated through
Tuscan White Bean Soup,1,Heat olive oil in a large pot or Dutch oven over medium heat
Tuscan White Bean Soup,2,"Add chopped onions, carrots, and celery. Cook until softened"
Tuscan White Bean Soup,3,Add garlic and cook for 1 minute
Tuscan White Bean Soup,4,Add chopped tomatoes (fresh or canned) and cook for 5 minutes
Tuscan White Bean Soup,5,"Add cannellini beans (drained and rinsed), vegetable broth, and dried herbs (thyme, rosemary)"
Tuscan White Bean Soup,6,"Bring to a boil, then reduce heat and simmer for 30 minutes"
Tuscan White Bean Soup,7,Season with salt and pepper to taste
Tuscan White Bean Soup,8,Garnish with chopped fresh parsley (optional)
Greek Yogurt Marinade Chicken Souvlaki,1,"In a bowl, whisk together Greek yogurt, lemon juice, olive oil, garlic, oregano, and paprika"
Greek Yogurt Marinade Chicken Souvlaki,2,Add chicken pieces and toss to coat
Greek Yogurt Marinade Chicken Souvlaki,3,"Marinate for at least 30 minutes, or up to overnight"
Greek Yogurt Marinade Chicken Souvlaki,4,Preheat grill or grill pan to medium-high heat
Greek Yogurt Marinade Chicken Souvlaki,5,Thread chicken pieces onto skewers
Greek Yogurt Marinade Chicken Souvlaki,6,"Grill souvlaki for 5-7 minutes per side, or until cooked through"
Greek Yogurt Marinade Chicken Souvlaki,7,"Serve with pita bread, tzatziki sauce, and salad (optional)"
Pad Thai,1,Soak rice noodles in warm water for 15 minutes
Pad Thai,2,"Whisk together eggs, fish sauce, soy sauce, and sugar in a bowl"
Pad Thai,3,Heat oil in a wok or large skillet over medium heat
Pad Thai,4,"Scramble the eggs in the pan, then set aside"
Pad Thai,5,Add tofu (cubed and pan-fried) or chicken (cooked and shredded) to the pan
Pad Thai,6,"Stir-fry vegetables (bean sprouts, chopped peanuts, scallions) for a few minutes"
Pad Thai,7,Pour the egg mixture back into the pan and toss to combine
Pad Thai,8,Drain the rice noodles and add them to the pan
Pad Thai,9,Add tamarind paste (or lime juice) and stir-fry until noodles are heated through
Pad Thai,10,Garnish with chopped cilantro and a squeeze of lime (optional)
Ratatouille,1,Preheat oven to 400°F (200°C)
Ratatouille,2,"Slice eggplant, zucchini, yellow squash, and bell peppers"
Ratatouille,3,"In a bowl, toss vegetables with olive oil, salt, and pepper"
Ratatouille,4,Spread vegetables in a single layer on a baking sheet
Ratatouille,5,"Roast for 20-25 minutes, or until tender"
Ratatouille,6,"In a separate pan, heat olive oil and saute chopped onions and garlic"
Ratatouille,7,Add chopped tomatoes (fresh or canned) and simmer for 10 minutes
Ratatouille,8,Layer the roasted vegetables in a baking dish with the tomato sauce
Ratatouille,9,Bake for an additional 10 minutes
Ratatouille,10,"Garnish with fresh herbs (basil, thyme) (optional)"
Chicken Tikka Masala,1,"Marinate chicken pieces in yogurt, lemon juice, ginger, garlic, and spices (garam masala, turmeric, cumin) for at least 30 minutes"
Chicken Tikka Masala,2,Heat oil in a pan over medium heat
Chicken Tikka Masala,3,Add chopped onions and cook until softened
Chicken Tikka Masala,4,"Add spices (cumin, coriander) and cook for 1 minute"
Chicken Tikka Masala,5,Add chopped tomatoes (fresh or canned) and cook for 5 minutes
Chicken Tikka Masala,6,Pour in coconut milk and chicken broth
Chicken Tikka Masala,7,Bring to a simmer and add the marinated chicken
Chicken Tikka Masala,8,"Cook for 15-20 minutes, or until chicken is cooked through"
Chicken Tikka Masala,9,Season with salt and pepper to taste
Chicken Tikka Masala,10,Serve over rice and garnish with fresh cilantro (optional)
Caprese Salad,1,Slice tomatoes and fresh mozzarella cheese
Caprese Salad,2,Arrange tomatoes and mozzarella on a plate in an alternating pattern
Caprese Salad,3,Drizzle with olive oil and balsamic vinegar
Caprese Salad,4,Season with salt and pepper to taste
Caprese Salad,5,Garnish with fresh basil leaves (optional)
Beef Stroganoff,1,Cut beef into thin strips
Beef Stroganoff,2,"Marinate beef in a mixture of soy sauce, Worcestershire sauce, and pepper (optional)"
Beef Stroganoff,3,Heat butter in a large pan over medium heat
Beef Stroganoff,4,Saute sliced onions and mushrooms until softened
Beef Stroganoff,5,Remove vegetables from the pan and set aside
Beef Stroganoff,6,Add the beef strips to the pan and cook until browned
Beef Stroganoff,7,Return the vegetables to the pan
Beef Stroganoff,8,Stir in flour and cook for 1 minute
Beef Stroganoff,9,Gradually whisk in beef broth and bring to a simmer
Beef Stroganoff,10,"Add Dijon mustard, tomato paste, and sour cream"
Beef Stroganoff,11,"Simmer for 5-10 minutes, or until thickened"
Beef Stroganoff,12,Season with salt and pepper to taste
Beef Stroganoff,13,Serve over cooked egg noodles
Kung Pao Chicken,1,"Marinate chicken pieces in soy sauce, cornstarch, and Shaoxing wine (or sherry) for at least 30 minutes"
Kung Pao Chicken,2,Heat oil in a wok or large skillet over high heat
Kung Pao Chicken,3,"Stir-fry peanuts for a few minutes, then remove and set aside"
Kung Pao Chicken,4,Stir-fry dried chilies and Sichuan peppercorns until fragrant
Kung Pao Chicken,5,Remove chilies and peppercorns with a slotted spoon
Kung Pao Chicken,6,Add the chicken pieces to the pan and cook until browned
Kung Pao Chicken,7,"Add chopped vegetables (bell peppers, scallions, celery)"
Kung Pao Chicken,8,Stir-fry for a few minutes
Kung Pao Chicken,9,"Pour in the prepared sauce (soy sauce, vinegar, sugar, cornstarch mixture)"
Kung Pao Chicken,10,Stir-fry until the sauce thickens
Kung Pao Chicken,11,Return the peanuts to the pan and toss to combine
Kung Pao Chicken,12,Serve over rice
Salmon with Lemon Dill Sauce,1,Preheat oven to 400°F (200°C)
Salmon with Lemon Dill Sauce,2,Season salmon fillets with salt and pepper
Salmon with Lemon Dill Sauce,3,"In a small bowl, combine melted butter, lemon juice, chopped dill, and garlic (optional)"
Salmon with Lemon Dill Sauce,4,Place salmon fillets in a baking dish
Salmon with Lemon Dill Sauce,5,Pour the lemon dill sauce over the salmon
Salmon with Lemon Dill Sauce,6,"Bake for 12-15 minutes, or until salmon is cooked through"
Salmon with Lemon Dill Sauce,7,Serve with roasted vegetables or rice (optional)
Scrambled Eggs,1,"Whisk eggs, salt, and pepper in a bowl"
Scrambled Eggs,2,Heat butter in a non-stick skillet over medium heat
Scrambled Eggs,3,Pour in the egg mixture and reduce heat to medium-low
Scrambled Eggs,4,"Gently fold the eggs with a spatula until cooked through, but still moist"
Scrambled Eggs,5,Remove from heat and serve immediately
Pasta Primavera,1,Bring a large pot of salted water to a boil
Pasta Primavera,2,Cook pasta according to package directions
Pasta Primavera,3,"While pasta cooks, prepare the vegetables (e.g., chop broccoli, carrots, etc.)"
Pasta Primavera,4,Heat olive oil in a large skillet over medium heat
Pasta Primavera,5,Sauté vegetables until tender-crisp
Pasta Primavera,6,"Drain pasta, reserving some pasta water"
Pasta Primavera,7,"Toss cooked pasta, vegetables, and your favorite sauce (e.g., pesto, marinara) in a large bowl"
Pasta Primavera,8,Add a splash of reserved pasta water to create a desired consistency
Pasta Primavera,9,Season with salt and pepper to taste
Pasta Primavera,10,Serve immediately
Beef Wellington,1,"Butterfly a beef tenderloin by carefully slicing it horizontally, leaving one side attached"
Beef Wellington,2,Season the tenderloin with salt and pepper
Beef Wellington,3,Spread a layer of Dijon mustard over the tenderloin
Beef Wellington,4,Layer prosciutto slices over the mustard-coated tenderloin
Beef Wellington,5,Spread a layer of duxelles (a mushroom paste) over the prosciutto
Beef Wellington,6,"Roll up the tenderloin tightly, securing it with butcher's twine"
Beef Wellington,7,Sear the Wellington in a hot skillet on all sides until browned
Beef Wellington,8,Transfer the Wellington to a baking sheet and brush with beaten egg
Beef Wellington,9,Bake in a preheated oven at 400°F (200°C) until cooked through to desired doneness
Beef Wellington,10,Let rest for 10 minutes before slicing and serving
Tuna Salad Sandwich,1,"Mix flaked tuna with mayonnaise, chopped celery, onion (optional), and seasonings (e.g., salt, pepper, lemon juice)"
Tuna Salad Sandwich,2,Spread the tuna salad mixture on one slice of bread
Tuna Salad Sandwich,3,"Top with lettuce, tomato, and other desired toppings (optional)"
Tuna Salad Sandwich,4,Add the other slice of bread and enjoy
Chicken Pot Pie,1,Preheat oven to 400°F (200°C)
Chicken Pot Pie,2,Cook diced chicken breasts or thighs in a pot until cooked through
Chicken Pot Pie,3,"Sauté chopped vegetables (e.g., carrots, peas, onions) in butter or olive oil"
Chicken Pot Pie,4,"Prepare a chicken gravy using broth, flour, and seasonings"
Chicken Pot Pie,5,"Combine cooked chicken, vegetables, and gravy in a baking dish"
Chicken Pot Pie,6,Line a pie dish with puff pastry or pie crust
Chicken Pot Pie,7,Pour the chicken mixture into the lined pie dish
Chicken Pot Pie,8,"Top with another layer of puff pastry or pie crust, crimping the edges to seal"
Chicken Pot Pie,9,Brush the top crust with milk or egg wash for browning
Chicken Pot Pie,10,"Bake for 30-40 minutes, or until the crust is golden brown and the filling is bubbly"
Chicken Pot Pie,11,Let cool slightly before serving
Sushi Bake,1,Cook sushi rice according to package instructions
Sushi Bake,2,"In a large bowl, combine cooked rice, sushi vinegar, sugar, and salt"
Sushi Bake,3,Spread the seasoned rice in a baking dish lined with parchment paper
Sushi Bake,4,"Top with your favorite sushi fillings (sliced vegetables, cooked seafood, cooked chicken)"
Sushi Bake,5,Whisk together eggs with a splash of soy sauce
Sushi Bake,6,Pour the egg mixture over the sushi fillings
Sushi Bake,7,"Bake in a preheated oven at 400°F (200°C) for 20-25 minutes, or until the egg is set"
Sushi Bake,8,"Slice and serve with soy sauce, pickled ginger, and wasabi (optional)"
Greek Yogurt Parfait with Granola and Berries,1,"Layer Greek yogurt, granola, and berries in a glass or parfait dish"
Greek Yogurt Parfait with Granola and Berries,2,Repeat layers until the glass is full
Greek Yogurt Parfait with Granola and Berries,3,Drizzle with honey or maple syrup (optional)
Greek Yogurt Parfait with Granola and Berries,4,Garnish with fresh mint leaves (optional)
Shakshuka,1,Heat olive oil in a large skillet over medium heat
Shakshuka,2,Sauté chopped onions and peppers until softened
Shakshuka,3,Add chopped tomatoes (fresh or canned) and simmer for 10 minutes
Shakshuka,4,"Season with spices (cumin, paprika, cayenne pepper) to taste"
Shakshuka,5,Make indentations in the tomato sauce with a spoon
Shakshuka,6,Crack eggs into the indentations
Shakshuka,7,"Cover the pan and simmer for 5-7 minutes, or until egg whites are set and yolks are cooked to desired doneness"
Shakshuka,8,Garnish with chopped fresh parsley and crumbled feta cheese (optional)
Shakshuka,9,Serve with pita bread
Chicken Alfredo,1,Cook fettuccine or other pasta according to package instructions
Chicken Alfredo,2,"While the pasta is cooking, melt butter in a large pan over medium heat"
Chicken Alfredo,3,Whisk in flour and cook for 1 minute
Chicken Alfredo,4,Gradually whisk in milk or cream and bring to a simmer
Chicken Alfredo,5,"Simmer for 5 minutes, or until sauce thickens"
Chicken Alfredo,6,"Season with Parmesan cheese, salt, and pepper to taste"
Chicken Alfredo,7,"Add cooked chicken pieces (grilled, shredded, or leftover) to the sauce"
Chicken Alfredo,8,Toss drained pasta with the Alfredo sauce
Chicken Alfredo,9,Serve with additional Parmesan cheese and chopped fresh parsley (optional)
Tacos,1,"Season ground beef or other protein (chicken, lentils) with taco seasoning"
Tacos,2,Brown the protein in a skillet over medium heat
Tacos,3,Warm corn tortillas in a skillet or microwave
Tacos,4,"Fill tortillas with your favorite toppings (protein, lettuce, cheese, salsa, sour cream, guacamole)"
Tacos,5,Fold the tortillas and enjoy! 
Mushroom Risotto,1,Heat butter or olive oil in a large saucepan over medium heat
Mushroom Risotto,2,Sauté chopped shallots or onions until softened
Mushroom Risotto,3,Add chopped mushrooms and cook until browned
Mushroom Risotto,4,"Add arborio rice and toast for a minute, stirring constantly"
Mushroom Risotto,5,Pour in white wine (optional) and let it simmer until evaporated
Mushroom Risotto,6,"Gradually add warm broth, one ladleful at a time, stirring constantly and allowing the rice to absorb the liquid before adding more"
Mushroom Risotto,7,"Continue adding broth until the rice is cooked through and creamy, about 20-25 minutes"
Mushroom Risotto,8,Stir in grated Parmesan cheese and butter (optional)
Mushroom Risotto,9,Season with salt and pepper to taste
